-1,12.3167, 0, 0, 0, 0, 0, 0, 100, 90
-1,24.6665, 0, 0, 0, 0, 0, 0, 100, 100
-1,2.86666, 0, 0, 0, 0, 0, 0, 100, 100
-1,26.8164, 16, 7, 0, 0, 37.5, 6, 62.5, 100
-1,16.1499, 0, 0, 2, 0, 5, 1, 95, 84
1,116.794, 2, 0, 26, 0, 85, 9, 100, 0
-1,54.5827, 0, 0, 7, 0, 0, 0, 100, 52
1,140.726, 0, 0, 15, 0, 0, 0, 100, 0
1,50.6827, 0, 0, 1, 0, 0, 0, 100, 0
-1,10.0834, 0, 0, 0, 0, 0, 0, 100, 100
-1,11.35, 0, 0, 2, 0, 0, 0, 100, 100
-1,17.1666, 0, 0, 0, 0, 0, 0, 100, 78
-1,6.53336, 0, 0, 0, 0, 0, 0, 100, 96
-1,25.3165, 0, 0, 0, 0, 0, 0, 100, 86
-1,153.007, 0, 0, 0, 0, 0, 0, 100, 100
-1,19.6832, 0, 0, 1, 0, 10, 2, 90, 82
-1,3.33333, 0, 0, 0, 0, 0, 0, 100, 98
